MatchId,WinningTeam,Champion1,Champ1Spell1,Champ1Spell2,Champion2,Champ2Spell1,Champ2Spell2,Champion3,Champ3Spell1,Champ3Spell2,Champion4,Champ4Spell1,Champ4Spell2,Champion5,Champ5Spell1,Champ5Spell2,Champion6,Champ6Spell1,Champ6Spell2,Champion7,Champ7Spell1,Champ7Spell2,Champion8,Champ8Spell1,Champ8Spell2,Champion9,Champ9Spell1,Champ9Spell2,Champion10,Champ10Spell1,Champ10Spell2
2541519761,Blue,Annie,Flash,Mark,Sona,Flash,Clarity,Cassiopeia,Flash,Ghost,Veigar,Flash,Mark,Irelia,Flash,Clarity,Ezreal,Heal,Flash,Lee Sin,Flash,Mark,Sivir,Mark,Flash,Nocturne,Flash,Mark,Malphite,Flash,Mark
2541519762,Purple,Brand,Clarity,Heal,Ezreal,Flash,Mark,Veigar,Flash,Clarity,Xerath,Clarity,Flash,Heimerdinger,Flash,Mark,Jinx,Clarity,Flash,Nasus,Heal,Flash,Blitzcrank,Clarity,Flash,Ahri,Exhaust,Flash,Vladimir,Mark,Flash
2541519791,Blue,Hecarim,Mark,Ignite,Zyra,Heal,Flash,Annie,Flash,Heal,Janna,Clarity,Flash,Master Yi,Flash,Mark,Twitch,Flash,Heal,LeBlanc,Flash,Heal,Taliyah,Ignite,Flash,Darius,Heal,Flash,Tristana,Flash,Heal
2541519792,Purple,Master Yi,Flash,Heal,Ryze,Mark,Flash,Annie,Flash,Mark,Garen,Flash,Mark,Zed,Cleanse,Flash,Anivia,Barrier,Flash,Maokai,Mark,Flash,Shaco,Ignite,Flash,Tahm Kench,Exhaust,Heal,Jhin,Flash,Heal
2541519793,Purple,Gragas,Mark,Flash,Morgana,Flash,Clarity,Zyra,Mark,Flash,Kassadin,Exhaust,Flash,Kennen,Flash,Mark,Lucian,Flash,Barrier,Malphite,Flash,Heal,Nasus,Mark,Flash,Master Yi,Mark,Flash,Garen,Mark,Flash
2541519794,Blue,Caitlyn,Cleanse,Flash,Ashe,Flash,Heal,Cho'Gath,Flash,Heal,Yasuo,Ignite,Flash,Jarvan IV,Flash,Barrier,Zyra,Flash,Ignite,Anivia,Heal,Flash,Ahri,Flash,Heal,Darius,Ghost,Mark,Garen,Heal,Flash
2541519795,Purple,Cho'Gath,Flash,Mark,Brand,Flash,Clarity,Sivir,Flash,Heal,Syndra,Barrier,Flash,Olaf,Flash,Mark,Kog'Maw,Clarity,Flash,Corki,Heal,Flash,Lissandra,Mark,Flash,Zac,Mark,Flash,Jarvan IV,Mark,Flash
2541519796,Blue,Caitlyn,Mark,Flash,Heimerdinger,Exhaust,Flash,Tristana,Heal,Flash,Draven,Flash,Barrier,Ziggs,Heal,Flash,Kindred,Flash,Heal,Vayne,Flash,Heal,Ryze,Flash,Ghost,Lux,Flash,Clarity,Diana,Flash,Mark
2541519797,Purple,Riven,Mark,Flash,Yasuo,Heal,Mark,Jhin,Flash,Heal,Taliyah,Flash,Mark,Morgana,Flash,Clarity,Jarvan IV,Mark,Flash,Blitzcrank,Flash,Mark,Illaoi,Mark,Flash,Bard,Flash,Mark,Swain,Flash,Mark
2541519798,Blue,Zilean,Heal,Flash,Kog'Maw,Flash,Heal,Jarvan IV,Flash,Mark,Soraka,Mark,Flash,Jinx,Heal,Flash,Pantheon,Mark,Flash,Braum,Flash,Exhaust,Volibear,Mark,Flash,Tristana,Heal,Flash,Anivia,Flash,Mark
